ObjectId,stopdate,stoptime,streetnbr,streetdir,street,Min_,sex,race,ethnic,Year_of_birth,enfaction,rpmainid
5095,2018/07/20 00:00:00,2050,1299,,13TH ST/PLEASANT ST,10,M,W,N,1996,Y,7709
5096,2018/07/19 00:00:00,2130,,,55TH/SOUIX,10,F,W,N,1999,Y,7710
5097,2018/07/21 00:00:00,2130,,,55TH ST/SOUTH BOULDER RD,20,M,W,N,1999,Y,7711
5098,2018/07/21 00:00:00,2245,1207,,BROADWAY/PENNSYLVANIA AVE,5,M,W,N,1955,N,7712
5099,2018/07/22 00:00:00,10,,,30TH ST/BASELINE RD,5,M,W,N,1979,N,7713
5100,2018/07/22 00:00:00,5,,,BROADWAY/BASELINE RD,7,F,W,N,1995,N,7714
5101,2018/07/22 00:00:00,100,,,9TH ST/CANYON BLVD,5,F,B,N,1994,N,7715
5102,2018/07/19 00:00:00,2300,1199,,WALNUT ST/BROADWAY,30,M,W,N,1987,Y,7716
5103,2018/07/19 00:00:00,2245,2800,,16TH ST/BALSAM AVE,7,M,W,N,1989,Y,7717
5104,2018/07/22 00:00:00,503,,,OLD TALE RD/ARAPAHOE AVE,8,F,W,N,1974,N,7718
5105,2018/07/19 00:00:00,2334,1200,,UNIVERSITY AVE,7,M,W,N,1997,Y,7719
5106,2018/07/22 00:00:00,252,1701,,33RD ST,7,F,W,N,1986,N,7720
5107,2018/07/20 00:00:00,207,1900,,IRIS AVE,5,M,W,N,1947,Y,7721
5108,2018/07/20 00:00:00,217,2899,,FOLSOM ST/VALMONT RD,5,M,W,N,1972,N,7722
5109,2018/07/22 00:00:00,502,,,OLD TALE RD/ARAPAHOE AVE,6,M,B,N,1970,N,7723
5110,2018/07/21 00:00:00,518,15000,,HWY 93,6,M,W,H,1964,N,7724
5111,2018/07/21 00:00:00,2149,3698,,TABLE MESA DR/S BROADWAY,8,M,W,N,1988,Y,7725
5112,2018/07/22 00:00:00,1400,1700,,BROADWAY,10,M,W,N,1968,N,7726
5113,2018/07/22 00:00:00,840,1700,,BROADWAY,15,M,W,N,1968,N,7727
5114,2018/07/22 00:00:00,1220,1700,,BROADWAY,15,M,W,N,1985,Y,7728
5115,2018/07/22 00:00:00,1015,291,,ARAPAHOE AVE,15,M,W,N,1993,Y,7729
5116,2018/07/22 00:00:00,925,1000,,ARAPAHOE AVE,15,F,W,N,1976,Y,7730
5117,2018/07/25 00:00:00,2303,4799,,BROADWAY/LEE HILL DR,20,M,W,N,2004,Y,7815
5118,2018/07/24 00:00:00,15,658,,MARINE ST,10,M,W,N,1994,Y,7770
5119,2018/07/28 00:00:00,1708,2765,,55TH ST/PEARL PKWY,10,F,W,N,1959,Y,7906
5120,2018/07/26 00:00:00,5,1700,,MARINE ST,10,M,W,N,1959,Y,7816
5121,2018/07/24 00:00:00,545,2600,,SPRUCE ST,10,F,W,N,1991,N,7771
5122,2018/07/28 00:00:00,2355,5278,,TABLE MESA DR/,5,M,W,N,1997,N,7907
5123,2018/07/26 00:00:00,31,900,,CASCADE AVE,10,F,W,N,1997,Y,7817
5124,2018/07/24 00:00:00,600,2600,,SPRUCE ST,10,M,W,N,1987,N,7772
5125,2018/07/29 00:00:00,30,3210,,ARAPAHOE AVE,30,M,W,N,1972,N,7908
5126,2018/07/26 00:00:00,120,1325,,PEARL ST,20,M,W,N,1975,N,7818
5127,2018/07/24 00:00:00,2352,,,DIAGONAL HWY/JAY RD,5,M,W,N,1987,N,7773
5128,2018/07/29 00:00:00,20,1800,,11TH ST,20,M,W,N,1985,Y,7909
5129,2018/07/25 00:00:00,45,1400,,CANYON BLVD,10,M,W,N,1988,N,7819
5130,2018/07/24 00:00:00,2340,,,DIAGONAL HWY/INDEPENDENCE RD,10,F,W,N,1985,N,7774
5131,2018/07/29 00:00:00,730,500 BLK,,CANYON BLVD,15,M,W,N,1975,Y,7910
5132,2018/07/25 00:00:00,2145,2099,,BROADWAY/SPRUCE ST,10,M,W,H,1987,N,7820
5133,2018/07/25 00:00:00,815,1499,,BROADWAY/GRANDVIEW AVE,10,M,W,N,1990,Y,7775
5134,2018/07/29 00:00:00,730,500 BLK,,CANYON BLVD,15,F,W,N,1988,Y,7911
5135,2018/07/25 00:00:00,2030,1300,,PINE ST/13TH ST,10,M,W,N,1944,Y,7821
5136,2018/07/25 00:00:00,1045,1500,,30TH ST,10,M,W,N,1988,Y,7776
5137,2018/07/29 00:00:00,750,600 BLK,,CANYON BLD,75,M,W,N,1966,Y,7912
5138,2018/07/26 00:00:00,2020,,,ASH AVE/S BROADWAY,5,M,B,N,1996,N,7822
5139,2018/07/25 00:00:00,1100,1500,,30TH ST,10,M,W,N,1991,N,7777
5140,2018/07/29 00:00:00,810,900 BLK,,CANYON BLVD,15,M,W,N,1975,Y,7913
5141,2018/07/26 00:00:00,1631,2798,,ARAPAHOE AVE,5,M,W,N,1962,N,7823
5142,2018/07/25 00:00:00,940,2523,,BROADWAY,15,M,W,N,1988,N,7778
5143,2018/07/29 00:00:00,810,,,9TH ST/CANYON BLVD,15,F,W,N,1982,Y,7914
5144,2018/07/26 00:00:00,2248,2199,,FOLSOM ST/PINE ST,10,M,B,N,1995,Y,7824
5145,2018/07/25 00:00:00,1219,1100 BLK,,S BROADWAY,15,F,W,N,1975,N,7779
5146,2018/07/29 00:00:00,825,1101,,ARAPAHOE AVE,0,M,W,N,1967,Y,7915
5147,2018/07/27 00:00:00,150,1399,,BROADWAY/UNIVERSITY AVE,10,M,W,N,1990,Y,7825
5148,2018/07/25 00:00:00,1300,1100 BLK,,S BROADWAY,15,F,W,N,1969,N,7780
5149,2018/07/29 00:00:00,835,1101,,ARAPAHOE AVE,15,M,W,N,1990,,7916
